value;value_type_code;calculation_code;payroll_year;industry_name;avg_salary_year;product_name;avg_price_year;price_value;price_unit;year;date_from
16729;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Hovžz’ maso zadn’ bez kosti;166,34;1.0;kg;2006;2.1.2006
16729;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Tžstoviny vaje‹nŽ;26,10;1.0;kg;2006;2.1.2006
16729;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Pe‹ivo päeni‹nŽ b’lŽ;38,60;1.0;kg;2006;2.1.2006
16729;5958;100;2006;‰innosti v oblasti nemovitost’;17551;ChlŽb konzumn’ km’novù;16,12;1.0;kg;2006;2.1.2006
16729;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Päeni‹n‡ mouka hladk‡;7,41;1.0;kg;2006;2.1.2006
16729;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Rùìe loupan‡ dlouhozrnn‡;21,29;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Kapr ìivù;69,35;1.0;kg;2006;4.12.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Pivo vù‹epn’, svžtlŽ, lahvovŽ;8,45;0.5;l;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;PÞ’rodn’ miner‡ln’ voda uhli‹it‡;7,69;1.0;l;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Cukr krystalovù;21,73;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Konzumn’ brambory;12,07;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Mrkev;14,41;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Papriky;35,31;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Rajsk‡ jablka ‹erven‡ kulat‡;57,83;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Jablka konzumn’;30,71;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Ban‡ny ìlutŽ;27,30;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Pomeran‹e;24,73;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Rostlinnù rozt’ratelnù tuk;69,45;1.0;kg;2006;2.1.2006
